일자별 시간표 내역을 입력합니다,,,,교시별 세부 시간표 내역을 입력합니다,,,,
훈련일자,훈련시작시간,훈련종료시간,방학여부,시작시간,시간구분,훈련강사코드,교육장소(강의실)코드,교과목(및 능력단위)코드
20210331,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_데이터분석 시각화 프로젝트 계획_14
20210401,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_스케줄링과 인프라 구축_14
20210401,0900,1800,N,1200,2,,,
20210401,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_스케줄링과 인프라 구축_14
20210402,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 기획_14
20210402,0900,1800,N,1200,2,,,
20210402,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 기획_14
20210403,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210403,0900,1800,N,1200,2,,,
20210403,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210406,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 시스템 설계_14
20210406,0900,1800,N,1200,2,,,
20210406,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 시스템 설계_14
20210407,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 시스템 설계_14
20210407,0900,1800,N,1200,2,,,
20210407,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 시스템 설계_14
20210408,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210408,0900,1800,N,1200,2,,,
20210408,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210409,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210409,0900,1800,N,1200,2,,,
20210409,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210410,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210410,0900,1800,N,1200,2,,,
20210410,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210413,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210413,0900,1800,N,1200,2,,,
20210413,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210414,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210414,0900,1800,N,1200,2,,,
